date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:28:49	44496/44496	---MCZ	200	added ('OK')	text/html	etag:W/%227481117198537afd03a5ce43095fee39%22	https://pest111.nicepage.io/	/Users/melvinyeo/websites/Pest%20150421/pest111.nicepage.io/index.html	(from )
13:28:55	92629/92629	---M-Z	200	added ('OK')	application/javascript	etag:%2245dd4e6dcb5ed31:0%22	http://static.nicepage.com/shared/assets/jquery-1.9.1.min.js	/Users/melvinyeo/websites/Pest%20150421/static.nicepage.com/shared/assets/jquery-1.9.1.min.js	(from https://pest111.nicepage.io/)
13:29:00	159812/159812	---MCZ	200	added ('OK')	application/javascript	etag:W/%2209b7f96d31d71:0%22	http://capp.nicepage.com/d41ec0ff5f4c74e024085006944a653fe3db37af/nicepage.js	/Users/melvinyeo/websites/Pest%20150421/capp.nicepage.com/d41ec0ff5f4c74e024085006944a653fe3db37af/nicepage.js	(from https://pest111.nicepage.io/)
13:29:01	1081567/1081567	---MCZ	200	added ('OK')	text/css	etag:W/%2221a74610bc18915530e02fb6ab1ac1b3%22	https://pest111.nicepage.io/nicepage.css?version=6ba7639d-15be-4ad8-ac7e-e1a55a01cd90	/Users/melvinyeo/websites/Pest%20150421/pest111.nicepage.io/nicepage9cb5.css	(from https://pest111.nicepage.io/)
13:29:01	4109/4109	---MC-	200	added ('OK')	text/css	date:Thu,%2015%20Apr%202021%2005:28:53%20GMT	https://fonts.googleapis.com/css?family=Roboto:100,100i,300,300i,400,400i,500,500i,700,700i,900,900i|Open+Sans:300,300i,400,400i,600,600i,700,700i,800,800i	/Users/melvinyeo/websites/Pest%20150421/fonts.googleapis.com/csscc57.css	(from https://pest111.nicepage.io/)
13:29:02	5727/5727	---MC-	200	added ('OK')	text/css	date:Thu,%2015%20Apr%202021%2005:28:57%20GMT	https://fonts.googleapis.com/css?family=Roboto:100,100i,300,300i,400,400i,500,500i,700,700i,900,900i|Montserrat:100,100i,200,200i,300,300i,400,400i,500,500i,600,600i,700,700i,800,800i,900,900i	/Users/melvinyeo/websites/Pest%20150421/fonts.googleapis.com/cssfd82.css	(from https://pest111.nicepage.io/)
13:29:17	136917/136917	---M--	200	added ('OK')	image/jpeg	etag:%22d492e2d89dcd6a68bf534c0d7b499520%22	http://images01.nicepage.io/e87d0f654017ddb364beb1a2/69b8285256bf5f0786252442/img_Mouse.jpeg	/Users/melvinyeo/websites/Pest%20150421/images01.nicepage.io/e87d0f654017ddb364beb1a2/69b8285256bf5f0786252442/img_Mouse.jpg	(from https://pest111.nicepage.io/)
13:29:18	69112/69112	---M--	200	added ('OK')	image/jpeg	etag:%22bd6133522c1a0e5835d8510fa26b0d51%22	http://images03.nicepage.io/c461c07a441a5d220e8feb1a/9f710de59576552888227ee6/g.jpg	/Users/melvinyeo/websites/Pest%20150421/images03.nicepage.io/c461c07a441a5d220e8feb1a/9f710de59576552888227ee6/g.jpg	(from https://pest111.nicepage.io/)
13:29:21	107350/107350	---M--	200	added ('OK')	image/jpeg	etag:%22684e6e15351a2edb207ff1c9a9535501%22	http://images03.nicepage.io/c461c07a441a5d220e8feb1a/10368f8113805d1ba66c15ce/billionphotos1882993.jpg	/Users/melvinyeo/websites/Pest%20150421/images03.nicepage.io/c461c07a441a5d220e8feb1a/10368f8113805d1ba66c15ce/billionphotos1882993.jpg	(from https://pest111.nicepage.io/)
13:29:21	103553/103553	---M--	200	added ('OK')	image/jpeg	etag:%22b539a4f835d2c88821eb9c6d81e0d6b9%22	http://images03.nicepage.io/c461c07a441a5d220e8feb1a/240338f479fd5def8bae5a4e/billionphotos1883011.jpg	/Users/melvinyeo/websites/Pest%20150421/images03.nicepage.io/c461c07a441a5d220e8feb1a/240338f479fd5def8bae5a4e/billionphotos1883011.jpg	(from https://pest111.nicepage.io/)
