HTTrack3.49-2 launched on Thu, 15 Apr 2021 13:40:43 at https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/*
(webhttrack -q -%i -w https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/ -O "/Users/melvinyeo/websites/Pest 4" -n -%P -N0 -s2 -p7 -D -a -K0 -c4 -%k -A25000 -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -%s -%u )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

13:41:27	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://static-demo.try-builder.com/moto3/engine/350/src/mt-includes/js/website.assets.min.js?_build=1614607692
13:41:29	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://static-demo.try-builder.com/moto3/engine/350/src/mt-includes/js/website.min.js?_build=1614607692
13:41:30	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/api.php
13:41:32	Error: 	"Bad Request" (400) at link www.googletagmanager.com/gtm.js?id= (from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/)
13:41:32	Warning: 	HTML file (42107 bytes) retransferred due to lack of cache: https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/more/
13:41:33	Warning: 	Retry after error -4 (Interrupted transfer) at link https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/more/ (from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/)
13:41:33	Warning: 	HTML file (42107 bytes) retransferred due to lack of cache: https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/more/
13:41:33	Warning: 	HTML file (60232 bytes) retransferred due to lack of cache: https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/blog/the-most-common-mistakes-when-managing-personal-finances/
13:41:34	Warning: 	Retry after error -4 (Interrupted transfer) at link https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/blog/the-most-common-mistakes-when-managing-personal-finances/ (from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/blog/)
13:41:34	Warning: 	HTML file (44806 bytes) retransferred due to lack of cache: https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/single-service/
13:41:34	Warning: 	HTML file (60232 bytes) retransferred due to lack of cache: https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/blog/the-most-common-mistakes-when-managing-personal-finances/
13:41:35	Warning: 	Retry after error -4 (Interrupted transfer) at link https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/single-service/ (from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/about-us/)
13:41:35	Warning: 	HTML file (44806 bytes) retransferred due to lack of cache: https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/single-service/
13:41:35	Error: 	"Not Found" (404) at link https://static-demo.try-builder.com/moto3/engine/350/src/mt-includes/css/mejs-controls.svg (from https://static-demo.try-builder.com/moto3/engine/350/src/mt-includes/css/assets.min.css?_build=1614607692)
13:41:35	Error: 	"Not Found" (404) at link https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/07/mt-1103-content-bg.jpg (from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/assets/styles.css?_build=1618464900)
13:41:35	Warning: 	Retry after error -4 (Interrupted transfer) at link https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/more/ (from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/)
13:41:35	Warning: 	HTML file (42107 bytes) retransferred due to lack of cache: https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/more/
13:41:36	Warning: 	Retry after error -4 (Interrupted transfer) at link https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/blog/the-most-common-mistakes-when-managing-personal-finances/ (from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/blog/)
13:41:36	Warning: 	HTML file (60232 bytes) retransferred due to lack of cache: https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/blog/the-most-common-mistakes-when-managing-personal-finances/
13:41:36	Warning: 	Retry after error -4 (Interrupted transfer) at link https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/single-service/ (from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/about-us/)
13:41:36	Warning: 	HTML file (44806 bytes) retransferred due to lack of cache: https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/single-service/
13:41:36	Error: 	"Interrupted transfer" (-4) after 2 retries at link https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/more/ (from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/)
13:41:37	Error: 	"Interrupted transfer" (-4) after 2 retries at link https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/blog/the-most-common-mistakes-when-managing-personal-finances/ (from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/blog/)
13:41:37	Error: 	"Interrupted transfer" (-4) after 2 retries at link https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/single-service/ (from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/about-us/)

HTTrack Website Copier/3.49-2 mirror complete in 54 seconds : 67 links scanned, 71 files written (6030188 bytes overall) [2841589 bytes received at 52622 bytes/sec], 3758013 bytes transferred using HTTP compression in 34 files, ratio 21%, 3.2 requests per connection
(6 errors, 18 warnings, 0 messages)
